id,type,status,priority,evidence_count,active_score,passive_score,reactivation_pressure,created_at,title,evidence_snippet
296,correction,active,0.95,0,0,0,medium,2026-07-03 21:16:10,Bueno días → Buenos días,Bueno días. Me quisiera comer algo
294,correction,active,0.9,2,0,0.1,high,2026-06-30 07:42:10,La hola de calor → La ola de calor,Todo está bien aquí. La hola de calor se fue y finalmente puedo respirar normalmente
293,correction,active,0.9,0,0,0,medium,2026-06-28 18:43:53,del anuncio → de un anuncio,Qué ejemplo del anuncio que apela a las emociones tienes?
291,correction,active,0.9,0,0,0,medium,2026-06-27 18:56:56,día del descanso → día de descanso,"Hoy no fui al gimnasio, tengo un día del descanso"
290,correction,active,0.9,0,0,0,medium,2026-06-26 18:20:42,No productivo → No he sido productivo,No productivo por la ola de calor que tenemos en Europa los últimos días
286,correction,active,0.9,0,0,0,medium,2026-06-26 12:55:36,me preguntó si dónde voy → me preguntó dónde voy,me preguntó si dónde voy
272,phrase,active,0.9,0,0,0,medium,2026-06-26 12:55:36,Me ha preguntado cuándo / dónde / por qué...,Me ha preguntado cuándo nos casamos.
271,phrase,active,0.9,0,0,0,medium,2026-06-26 12:55:36,Me ha preguntado si...,Me ha preguntado si voy a la fiesta.
270,phrase,active,0.9,0,0,0,medium,2026-06-26 12:55:36,Me ha dicho que...,Me ha dicho que se va de viaje.
268,correction,active,0.9,0,0,0,medium,2026-06-26 12:55:36,el anuncio dirige a jóvenes → el anuncio se dirige a jóvenes,el anuncio dirige a jóvenes
267,correction,active,0.9,0,0,0,medium,2026-06-26 12:55:36,regala lo → regálalo,regala lo
266,correction,active,0.9,0,0,0,medium,2026-06-26 12:55:36,no tiralo → no lo tires,no tiralo
257,phrase,active,0.9,0,0,0,medium,2026-06-26 12:55:36,No lo tires. Regálalo o intercámbialo,No lo tires. Regálalo o intercámbialo.
253,phrase,active,0.9,1,0.2,0,high,2026-06-26 12:55:36,El anuncio se dirige a jóvenes / adultos / gente mayor,El anuncio se dirige a jóvenes.
252,phrase,active,0.9,0,0,0,medium,2026-06-26 12:55:36,Me parece impactante / efectivo / sugerente,Me parece impactante. / Me parece efectivo. / Me parece sugerente.
289,correction,active,0.8,0,0,0,medium,2026-06-26 12:55:36,me ha felicitado de mi trabajo → me ha felicitado por mi trabajo,me ha felicitado de mi trabajo
288,correction,active,0.8,0,0,0,medium,2026-06-26 12:55:36,preguntó por repetir → pidió repetir / pidió que repitiera,preguntó por repetir
