-gastado	C1
abajo	B2
abandonar	B2
abandono	C2
abanico	C2
abarcar	C2
abarrotada	C2
abarrotado	C1
abarrotar	C1
abastecedor	C2
abastecer	C2
abastecimiento	C1
abatible	C2
abatido	C1
abatir	C2
abdominal	C1
abierta	A2
abiertamente	C1
abierto	A1
abiertos	B2
abismal	C2
ablandar	C1
abogado	A1
abolir	C1
abolladura	C2
abominable	C2
abominar	C2
abonado	C1
abonar	C2
abonarse	C1
abono	C2
aborrecer	C1
aborrecible	C1
aborto	B2
abrasador	C2
abrazar	B1
abrazarse	B1
abrebotellas	B2
abrecartas	C1
abrelatas	B2
abrevadero	C2
abrigo	A2
abrillantar	C2
abrir	A1
abrirse	C2
abrumador	C1
abrupta	C1
abrupto	C2
absentismo	C2
absolución	C2
absoluta	C1
absolutamente	B2
absoluto	C2
absolutoria	C2
absolver	C2
absorbente	B2
absorber	B2
absorción	C1
abstemio	C1
abstención	B2
abstenerse	B2
abstracción	C2
abstracta	B2
abstracto	B2
absurdo	B2
abuchear	C2
abuelete	C2
abuelo	C1
abultado	C2
abultar	C2
abundancia	C1
abundante	B2
abundantemente	C1
abundar	C1
aburrido	A2
aburrimiento	B2
aburrir	B2
aburrirse	B1
abusar	C1
abusivo	C2
acabable	C1
acabado	B2
acabados	C1
acaban	C1
acabar	A2
acabarse	B2
academia	A2
académica	C1
académico	B2
acaecer	C2
acallar	C2
acalorado	C2
acaloramiento	C2
acampar	B2
acantilado	C2
acariciar	B2
acatamiento	C2
acatar	C2
acceder	C1
accesibilidad	C1
accesible	C1
acceso	B2
accidentado	C1
accidente	B2
accionar	C2
accionista	B2
acción	B2
aceite	A2
aceitoso	C1
aceleración	C1
acelerado	C1
acelerador	C1
acelerar	B2
acelgas	C1
acentuar	C2
aceptable	B2
aceptación	C1
aceptar	B1
acequia	C2
acera	B2
acercamiento	C1
acercar	B2
acercarse	B1
acero	B1
acertar	B2
achacoso	C2
achaque	C2
achicar	C2
achicharrarse	C2
acicalar	C2
acicalarse	C2
acidez	C1
acierto	C1
aclamar	C2
aclaración	B2
aclarar	C1
acogedor	B2
acoger	C1
acogida	C1
acolchado	C2
acomodada	C2
acomodador	B2
acomodar	C2
acomodo	C2
acompasado	C2
acondicionado	B2
acondicionar	C1
acontecer	C2
acontecimiento	B2
acordarse	B1
acorde	C2
acordonar	C2
acortar	C1
acosar	C2
acoso	C1
acostado	B1
acostarse	A2
acotación	C2
acre	C2
acreditar	C1
acreedor	C2
acrobático	C2
acrílica	C2
actitud	B1
activa	B2
actividad	B1
actividades	A2
acto	B2
actor	A1
actriz	A1
actuación	B2
actual	B2
actualidad	C1
actualización	C1
actualizar	C1
actualmente	B1
actuar	C1
acuarelista	C2
acudir	C1
acuerdo	B2
acumularse	C1
acuoso	C2
acuosos	C2
acupuntor	C2
acupuntura	C2
acusado	B2
acusar	C1
acuática	B2
acuático	B2
acá	C2
acústica	C1
adaptación	B2
adaptar	B2
adecentar	C2
adecuación	C1
adecuado	C1
adecuarse	C1
adelantado	B2
adelantamiento	C1
adelantar	B2
adelante	C1
adelanto	C1
adelgazar	B1
adentrar	C1
adentrarse	C2
adentro	B2
adepto	C2
aderezar	C2
adherencia	C2
adherente	C1
adherido	C2
adherir	C2
adhesivo	C1
adhesión	C1
adicional	C1
adición	C2
adinerada	C2
adiposo	C2
adivinar	B1
adjudicar	C1
adjuntar	B1
administración	B1
administrador	B2
administrar	C2
administrativa	C1
admirable	C1
admiración	B2
admirado	C1
admirador	C1
admirar	C2
admisible	C1
admitir	C1
adn	C1
adobar	C2
adolescencia	B2
adolescente	A2
adoptar	B1
adoptiva	B2
adoquinado	C2
adorar	B2
adorno	B2
adosado	C1
